,id,retweet_count,favorite_count
121,869596645499047938,3247,16249
122,869227993411051520,3931,20805
123,868880397819494401,15035,66806
124,868639477480148993,2178,0
125,868622495443632128,6145,27880
126,868552278524837888,2178,10373
127,867900495410671616,4345,24628
128,867774946302451713,7617,34657
129,867421006826221569,2629,16502
130,867072653475098625,131,0
131,867051520902168576,8225,32929
132,null,null,null
133,866720684873056260,5045,20569
134,866686824827068416,3642,19790
135,866450705531457537,36787,124811
136,866334964761202691,15138,53873
137,866094527597207552,8731,0
138,865718153858494464,5863,26235
139,865359393868664832,5244,27140
140,865006731092295680,8039,28697
141,864873206498414592,9159,33165
142,864279568663928832,3198,14991
143,864197398364647424,9405,30976
144,863907417377173506,4345,21178
145,863553081350529029,4377,15695
146,863471782782697472,2607,0
147,863432100342583297,5547,24442
148,863427515083354112,102,2325
149,863079547188785154,1157,8990
150,863062471531167744,2607,8795
151,862831371563274240,5333,19717
152,862722525377298433,3720,17551
153,862457590147678208,5234,21165
154,862096992088072192,24554,76846
155,null,null,null
156,861383897657036800,11283,37185
157,861288531465048066,4395,17721
158,861005113778896900,4020,17251
159,860981674716409858,2278,0
160,860924035999428608,862,0
161,860563773140209665,2278,7741
162,860524505164394496,5570,24366
163,860276583193509888,3669,18895
164,860184849394610176,6178,17218
165,860177593139703809,32655,0
166,859924526012018688,4262,19735
167,859851578198683649,3711,15892
168,859607811541651456,1668,19206
169,859196978902773760,32082,93032
170,859074603037188101,14436,35078
171,858860390427611136,8613,0
172,858843525470990336,3685,16084
173,858471635011153920,5145,22276
174,858107933456039936,3092,16292
175,857989990357356544,2750,16711
176,857746408056729600,11276,35500
177,857393404942143489,1737,6135
178,857263160327368704,4823,20720
179,857214891891077121,20,239
180,857062103051644929,179,0
181,857029823797047296,4267,19632
182,856602993587888130,11392,0
183,856543823941562368,3071,16918
184,856526610513747968,2011,12286
185,856330835276025856,722,0
186,856288084350160898,17,533
187,856282028240666624,6731,28724
188,855862651834028034,28,362
189,855860136149123072,1104,5058
190,855857698524602368,2266,12314
191,855851453814013952,18853,47222
192,855818117272018944,5822,27676
193,855459453768019968,8821,31215
194,855245323840757760,6415,0
195,855138241867124737,49,0
196,854732716440526848,6546,23838
197,854482394044301312,7407,30659
198,854365224396361728,5054,19747
199,854120357044912130,8091,33395
200,854010172552949760,3379,16914
201,853760880890318849,6255,29980
202,853639147608842240,10991,36615
203,853299958564483072,3850,16291
204,852936405516943360,2186,0
205,852912242202992640,1994,9485
206,852672615818899456,2325,15683
207,852553447878664193,3808,17221
208,852311364735569921,10738,34823
209,852226086759018497,7407,21038
210,852189679701164033,1710,12049
211,851953902622658560,10465,0
212,851861385021730816,23,0
213,851591660324737024,3755,17070
214,851464819735769094,7685,25591
215,851224888060895234,6224,21774
216,850753642995093505,10135,32834
217,850380195714523136,2843,13783
218,850333567704068097,362,3603
219,850145622816686080,4155,17256
220,850019790995546112,5343,21632
221,849776966551130114,8305,32219
222,849668094696017920,5411,0
223,849412302885593088,3421,16803
224,849336543269576704,2061,12089
225,849051919805034497,9318,44742
226,848690551926992896,4722,26709
227,848324959059550208,5031,26251
228,848213670039564288,816,8677
229,848212111729840128,3366,17339
230,847978865427394560,3567,0
231,847971574464610304,470,0
232,847962785489326080,5623,24910
233,847842811428974592,1479,5839
234,847617282490613760,459,7442
235,847606175596138505,3704,19904
236,847251039262605312,4689,21684
237,847157206088847362,6432,21241
238,847116187444137987,3504,22769
239,846874817362120707,4321,21359
240,846514051647705089,12757,47591
241,846505985330044928,3410,15062
242,846153765933735936,9968,33833
243,846139713627017216,10769,32768
244,846042936437604353,3159,17018
245,845812042753855489,9646,31217
246,845677943972139009,5246,26753
247,null,null,null
248,845397057150107648,2015,8123
249,845306882940190720,5929,24861
250,845098359547420673,8452,0
251,844979544864018432,2849,14526
252,844973813909606400,3535,16122
253,844704788403113984,11392,41342
254,844580511645339650,3455,17573
255,844223788422217728,2410,14539
256,843981021012017153,3217,16107
257,843856843873095681,5112,22857
258,843604394117681152,3017,18033
259,843235543001513987,6700,22971
260,null,null,null
261,842846295480000512,3942,16223
262,842765311967449089,1416,7208
263,842535590457499648,3853,19338
264,842163532590374912,6415,26196
265,842115215311396866,3328,14999
266,841833993020538882,17034,0
267,841680585030541313,8560,27425
268,841439858740625411,4077,13536
269,841320156043304961,5982,21116
270,841314665196081154,5193,17014
271,841077006473256960,5859,24555
272,840761248237133825,1939,0
273,840728873075638272,17871,0
274,840698636975636481,3,195
275,840696689258311684,1094,13184
276,840632337062862849,1939,9622
277,840370681858686976,5043,17651
278,840268004936019968,6342,20664
279,839990271299457024,2545,14405
280,839549326359670784,8613,29544
281,839290600511926273,157,0
282,839239871831150596,7255,29201
283,838952994649550848,4412,21052
284,838921590096166913,2297,12000
285,838916489579200512,37,0
286,838831947270979586,12308,0
287,838561493054533637,1471,11719
288,838476387338051585,5344,24289
289,838201503651401729,11242,0
290,838150277551247360,359,1802
291,838085839343206401,0,149
292,838083903487373313,3490,18920
293,837820167694528512,8731,36771
294,837482249356513284,490,4139
295,837471256429613056,2564,13777
296,837366284874571778,5879,22706
297,837110210464448512,2667,17229
